Entity,Code,Year,Population - Sex: female - Age: all - Variant: estimates
Bolivia,BOL,2001,4324871
Bolivia,BOL,2002,4396261
Bolivia,BOL,2003,4472103
Bolivia,BOL,2004,4549598
Bolivia,BOL,2005,4628562
Bolivia,BOL,2006,4709715
Bolivia,BOL,2007,4792563
Bolivia,BOL,2008,4875791
Bolivia,BOL,2009,4959234
Bolivia,BOL,2010,5043031
Bolivia,BOL,2011,5127114
Bolivia,BOL,2012,5211369
Bolivia,BOL,2013,5295674
Bolivia,BOL,2014,5379804
Bolivia,BOL,2015,5463768
Bolivia,BOL,2016,5547570
Bolivia,BOL,2017,5631129
Bolivia,BOL,2018,5714441
Bolivia,BOL,2019,5797445
Bolivia,BOL,2020,5876238
Bolivia,BOL,2021,5947415
Bolivia,BOL,2022,6023405
Bolivia,BOL,2023,6108428
Bosnia and Herzegovina,BIH,1950,1391757
Bosnia and Herzegovina,BIH,1951,1410722
Bosnia and Herzegovina,BIH,1952,1431685
Bosnia and Herzegovina,BIH,1953,1460555
Bosnia and Herzegovina,BIH,1954,1495971
Bosnia and Herzegovina,BIH,1955,1532265
Bosnia and Herzegovina,BIH,1956,1569648
Bosnia and Herzegovina,BIH,1957,1607960
Bosnia and Herzegovina,BIH,1958,1647236
Bosnia and Herzegovina,BIH,1959,1687659
Bosnia and Herzegovina,BIH,1960,1729860
Bosnia and Herzegovina,BIH,1961,1767634
Bosnia and Herzegovina,BIH,1962,1796933
Bosnia and Herzegovina,BIH,1963,1822672
Bosnia and Herzegovina,BIH,1964,1847195
Bosnia and Herzegovina,BIH,1965,1870912
Bosnia and Herzegovina,BIH,1966,1894094
Bosnia and Herzegovina,BIH,1967,1916578
Bosnia and Herzegovina,BIH,1968,1937932
Bosnia and Herzegovina,BIH,1969,1957997
Bosnia and Herzegovina,BIH,1970,1976987
Bosnia and Herzegovina,BIH,1971,1994616
Bosnia and Herzegovina,BIH,1972,2010832
Bosnia and Herzegovina,BIH,1973,2026551
Bosnia and Herzegovina,BIH,1974,2042434
Bosnia and Herzegovina,BIH,1975,2058654
Bosnia and Herzegovina,BIH,1976,2074841
Bosnia and Herzegovina,BIH,1977,2090531
Bosnia and Herzegovina,BIH,1978,2105717
Bosnia and Herzegovina,BIH,1979,2120715
Bosnia and Herzegovina,BIH,1980,2136152
Bosnia and Herzegovina,BIH,1981,2152208
Bosnia and Herzegovina,BIH,1982,2169549
Bosnia and Herzegovina,BIH,1983,2188000
Bosnia and Herzegovina,BIH,1984,2206155
Bosnia and Herzegovina,BIH,1985,2223229
Bosnia and Herzegovina,BIH,1986,2238648
Bosnia and Herzegovina,BIH,1987,2252237
Bosnia and Herzegovina,BIH,1988,2263856
Bosnia and Herzegovina,BIH,1989,2273212
Bosnia and Herzegovina,BIH,1990,2280049
Bosnia and Herzegovina,BIH,1991,2284291
Bosnia and Herzegovina,BIH,1992,2179584
Bosnia and Herzegovina,BIH,1993,2028826
Bosnia and Herzegovina,BIH,1994,1948717
Bosnia and Herzegovina,BIH,1995,1947059
Bosnia and Herzegovina,BIH,1996,2027685
Bosnia and Herzegovina,BIH,1997,2099413
Bosnia and Herzegovina,BIH,1998,2135066
Bosnia and Herzegovina,BIH,1999,2155464
Bosnia and Herzegovina,BIH,2000,2169977
Bosnia and Herzegovina,BIH,2001,2179569
Bosnia and Herzegovina,BIH,2002,2183723
Bosnia and Herzegovina,BIH,2003,2178857
Bosnia and Herzegovina,BIH,2004,2160022
Bosnia and Herzegovina,BIH,2005,2137882
Bosnia and Herzegovina,BIH,2006,2121529
Bosnia and Herzegovina,BIH,2007,2096906
Bosnia and Herzegovina,BIH,2008,2064135
Bosnia and Herzegovina,BIH,2009,2030317
Bosnia and Herzegovina,BIH,2010,1996040
Bosnia and Herzegovina,BIH,2011,1960916
Bosnia and Herzegovina,BIH,2012,1924627
Bosnia and Herzegovina,BIH,2013,1894411
Bosnia and Herzegovina,BIH,2014,1870559
Bosnia and Herzegovina,BIH,2015,1846375
Bosnia and Herzegovina,BIH,2016,1822350
Bosnia and Herzegovina,BIH,2017,1798539
Bosnia and Herzegovina,BIH,2018,1776602
Bosnia and Herzegovina,BIH,2019,1755050
Bosnia and Herzegovina,BIH,2020,1730656
Bosnia and Herzegovina,BIH,2021,1701557
Bosnia and Herzegovina,BIH,2022,1680629
Bosnia and Herzegovina,BIH,2023,1670410
Brazil,BRA,1950,26481683
Brazil,BRA,1951,27300022
Brazil,BRA,1952,28151807
Brazil,BRA,1953,29034907
Brazil,BRA,1954,29948701
Brazil,BRA,1955,30894703
Brazil,BRA,1956,31873774
Brazil,BRA,1957,32885178
Brazil,BRA,1958,33927926
Brazil,BRA,1959,35001282
Brazil,BRA,1960,36100041
Brazil,BRA,1961,37220572
Brazil,BRA,1962,38362615
Brazil,BRA,1963,39524522
Brazil,BRA,1964,40699675
Brazil,BRA,1965,41877796
Brazil,BRA,1966,43052824
Brazil,BRA,1967,44220633
Brazil,BRA,1968,45382762
Brazil,BRA,1969,46549670
Brazil,BRA,1970,47729159
Brazil,BRA,1971,48925358
Brazil,BRA,1972,50143234
Brazil,BRA,1973,51383913
Brazil,BRA,1974,52641174
Brazil,BRA,1975,53917926
Brazil,BRA,1976,55225309
Brazil,BRA,1977,56565643
Brazil,BRA,1978,57937056
Brazil,BRA,1979,59335351
Brazil,BRA,1980,60756681
Brazil,BRA,1981,62191723
Brazil,BRA,1982,63628345
Brazil,BRA,1983,65068015
Brazil,BRA,1984,66508496
Brazil,BRA,1985,67943284
Brazil,BRA,1986,69360677
Brazil,BRA,1987,70752695
Brazil,BRA,1988,72122827
Brazil,BRA,1989,73473665
Brazil,BRA,1990,74810598
Brazil,BRA,1991,76122419
Brazil,BRA,1992,77423629
Brazil,BRA,1993,78712903
Brazil,BRA,1994,79979704
Brazil,BRA,1995,81247237
Brazil,BRA,1996,82513945
Brazil,BRA,1997,83776985
Brazil,BRA,1998,85060301
Brazil,BRA,1999,86337008
Brazil,BRA,2000,87563457
Brazil,BRA,2001,88745472
Brazil,BRA,2002,89889310
Brazil,BRA,2003,90993147
Brazil,BRA,2004,92064385
Brazil,BRA,2005,93116145
Brazil,BRA,2006,94144060
Brazil,BRA,2007,95139803
Brazil,BRA,2008,96094554
Brazil,BRA,2009,96998667
Brazil,BRA,2010,97857571
Brazil,BRA,2011,98697664
Brazil,BRA,2012,99542838
Brazil,BRA,2013,100393205
Brazil,BRA,2014,101245562
Brazil,BRA,2015,102088083
Brazil,BRA,2016,102908376
Brazil,BRA,2017,103701725
Brazil,BRA,2018,104452737
Brazil,BRA,2019,105174725
Brazil,BRA,2020,105816368
Brazil,BRA,2021,106313827
Brazil,BRA,2022,106757480
Brazil,BRA,2023,107227668
Bulgaria,BGR,1950,3624974
Bulgaria,BGR,1951,3658857
Bulgaria,BGR,1952,3683552
Bulgaria,BGR,1953,3711309
Bulgaria,BGR,1954,3742416
Bulgaria,BGR,1955,3772179
Bulgaria,BGR,1956,3799938
Bulgaria,BGR,1957,3831502
Bulgaria,BGR,1958,3868893
Bulgaria,BGR,1959,3903018
Bulgaria,BGR,1960,3936781
Bulgaria,BGR,1961,3973793
Bulgaria,BGR,1962,4008275
Bulgaria,BGR,1963,4040444
Bulgaria,BGR,1964,4073039
Bulgaria,BGR,1965,4102108
Bulgaria,BGR,1966,4128339
Bulgaria,BGR,1967,4154619
Bulgaria,BGR,1968,4184703
Bulgaria,BGR,1969,4217565
Bulgaria,BGR,1970,4245847
Bulgaria,BGR,1971,4270618
Bulgaria,BGR,1972,4292205
Bulgaria,BGR,1973,4315753
Bulgaria,BGR,1974,4345896
Bulgaria,BGR,1975,4367171
Bulgaria,BGR,1976,4386646
Bulgaria,BGR,1977,4411045
Bulgaria,BGR,1978,4417892
Bulgaria,BGR,1979,4425803
Bulgaria,BGR,1980,4445406
Bulgaria,BGR,1981,4462046
Bulgaria,BGR,1982,4477103
Bulgaria,BGR,1983,4490673
Bulgaria,BGR,1984,4504049
Bulgaria,BGR,1985,4515112
Bulgaria,BGR,1986,4525743
Bulgaria,BGR,1987,4536527
Bulgaria,BGR,1988,4545408
Bulgaria,BGR,1989,4525203
Bulgaria,BGR,1990,4473248
Bulgaria,BGR,1991,4414623
Bulgaria,BGR,1992,4351175
Bulgaria,BGR,1993,4309743
Bulgaria,BGR,1994,4289311
Bulgaria,BGR,1995,4264136
Bulgaria,BGR,1996,4234887
Bulgaria,BGR,1997,4200800
Bulgaria,BGR,1998,4164625
Bulgaria,BGR,1999,4132287
Bulgaria,BGR,2000,4101095
Bulgaria,BGR,2001,4067261
Bulgaria,BGR,2002,4034847
Bulgaria,BGR,2003,4005956
Bulgaria,BGR,2004,3978704
Bulgaria,BGR,2005,3951779
Bulgaria,BGR,2006,3924455
Bulgaria,BGR,2007,3897351
Bulgaria,BGR,2008,3870906
Bulgaria,BGR,2009,3846170
Bulgaria,BGR,2010,3819829
Bulgaria,BGR,2011,3789656
Bulgaria,BGR,2012,3756509
Bulgaria,BGR,2013,3729751
Bulgaria,BGR,2014,3710142
Bulgaria,BGR,2015,3688119
Bulgaria,BGR,2016,3664030
Bulgaria,BGR,2017,3639588
Bulgaria,BGR,2018,3615827
Bulgaria,BGR,2019,3592932
Bulgaria,BGR,2020,3574163
Bulgaria,BGR,2021,3546981
Bulgaria,BGR,2022,3521405
Bulgaria,BGR,2023,3506773
Cambodia,KHM,1950,2186558
Cambodia,KHM,1951,2235649
Cambodia,KHM,1952,2285789
Cambodia,KHM,1953,2336048
Cambodia,KHM,1954,2386725
Cambodia,KHM,1955,2439027
Cambodia,KHM,1956,2492639
Cambodia,KHM,1957,2547193
Cambodia,KHM,1958,2601486
Cambodia,KHM,1959,2656692
Cambodia,KHM,1960,2714520
Cambodia,KHM,1961,2774562
Cambodia,KHM,1962,2837316
Cambodia,KHM,1963,2899636
Cambodia,KHM,1964,2960877
Cambodia,KHM,1965,3023701
Cambodia,KHM,1966,3088021
Cambodia,KHM,1967,3154116
Cambodia,KHM,1968,3221851
Cambodia,KHM,1969,3291150
Cambodia,KHM,1970,3317398
Cambodia,KHM,1971,3325392
Cambodia,KHM,1972,3368697
Cambodia,KHM,1973,3418073
Cambodia,KHM,1974,3456095
Cambodia,KHM,1975,3387776
Cambodia,KHM,1976,3199935
Cambodia,KHM,1977,2986817
Cambodia,KHM,1978,2780221
Cambodia,KHM,1979,2736222
Cambodia,KHM,1980,2796666
Cambodia,KHM,1981,2839166
Cambodia,KHM,1982,2915401
Cambodia,KHM,1983,3015522
Cambodia,KHM,1984,3120149
Cambodia,KHM,1985,3219646
Cambodia,KHM,1986,3337441
Cambodia,KHM,1987,3465936
Cambodia,KHM,1988,3588579
Cambodia,KHM,1989,3714137
Cambodia,KHM,1990,3854170
Cambodia,KHM,1991,3999151
Cambodia,KHM,1992,4205711
Cambodia,KHM,1993,4455310
Cambodia,KHM,1994,4778650
Cambodia,KHM,1995,5194382
Cambodia,KHM,1996,5611555
Cambodia,KHM,1997,6022157
Cambodia,KHM,1998,6277187
Cambodia,KHM,1999,6376733
Cambodia,KHM,2000,6469499
Cambodia,KHM,2001,6561925
Cambodia,KHM,2002,6654775
Cambodia,KHM,2003,6747261
Cambodia,KHM,2004,6838471
Cambodia,KHM,2005,6929547
Cambodia,KHM,2006,7022483
Cambodia,KHM,2007,7116388
Cambodia,KHM,2008,7215505
Cambodia,KHM,2009,7323649
Cambodia,KHM,2010,7434754
Cambodia,KHM,2011,7544941
Cambodia,KHM,2012,7655654
Cambodia,KHM,2013,7767872
Cambodia,KHM,2014,7880960
Cambodia,KHM,2015,7994076
Cambodia,KHM,2016,8108585
Cambodia,KHM,2017,8218876
Cambodia,KHM,2018,8320126
Cambodia,KHM,2019,8423915
Cambodia,KHM,2020,8544840
Cambodia,KHM,2021,8667398
Cambodia,KHM,2022,8779879
Cambodia,KHM,2023,8889930
Canada,CAN,1950,6775382
Canada,CAN,1951,6951957
Canada,CAN,1952,7147050
Canada,CAN,1953,7346999
Canada,CAN,1954,7552666
Canada,CAN,1955,7754849
Canada,CAN,1956,7968346
Canada,CAN,1957,8207882
Canada,CAN,1958,8439353
Canada,CAN,1959,8646482
Canada,CAN,1960,8842998
Canada,CAN,1961,9033985
Canada,CAN,1962,9220324
Canada,CAN,1963,9406921
Canada,CAN,1964,9596003
Canada,CAN,1965,9787426
Canada,CAN,1966,9979151
Canada,CAN,1967,10161923
Canada,CAN,1968,10329909
Canada,CAN,1969,10488865
Canada,CAN,1970,10688790
Canada,CAN,1971,10908721
Canada,CAN,1972,11078732
Canada,CAN,1973,11228197
Canada,CAN,1974,11391904
Canada,CAN,1975,11563651
Canada,CAN,1976,11728886
Canada,CAN,1977,11879525
Canada,CAN,1978,12017310
Canada,CAN,1979,12158265
Canada,CAN,1980,12315894
Canada,CAN,1981,12480312
Canada,CAN,1982,12637073
Canada,CAN,1983,12783052
Canada,CAN,1984,12921781
Canada,CAN,1985,13058624
Canada,CAN,1986,13205162
Canada,CAN,1987,13373369
Canada,CAN,1988,13573116
Canada,CAN,1989,13800889
Canada,CAN,1990,14017472
Canada,CAN,1991,14203544
Canada,CAN,1992,14383209
Canada,CAN,1993,14558054
Canada,CAN,1994,14722604
Canada,CAN,1995,14884391
Canada,CAN,1996,15041093
Canada,CAN,1997,15186322
Canada,CAN,1998,15323136
Canada,CAN,1999,15459040
Canada,CAN,2000,15601753
Canada,CAN,2001,15757323
Canada,CAN,2002,15915422
Canada,CAN,2003,16065708
Canada,CAN,2004,16213853
Canada,CAN,2005,16366685
Canada,CAN,2006,16526348
Canada,CAN,2007,16695362
Canada,CAN,2008,16876531
Canada,CAN,2009,17067126
Canada,CAN,2010,17253889
Canada,CAN,2011,17431945
Canada,CAN,2012,17610583
Canada,CAN,2013,17790845
Canada,CAN,2014,17959413
Canada,CAN,2015,18124576
Canada,CAN,2016,18320688
Canada,CAN,2017,18544901
Canada,CAN,2018,18780072
Canada,CAN,2019,19016707
Canada,CAN,2020,19207455
Canada,CAN,2021,19348677
Canada,CAN,2022,19538897
Canada,CAN,2023,19783532
Chile,CHL,1950,3281974
Chile,CHL,1951,3346898
Chile,CHL,1952,3415587
Chile,CHL,1953,3487458
Chile,CHL,1954,3562116
Chile,CHL,1955,3639207
Chile,CHL,1956,3719347
Chile,CHL,1957,3802024
Chile,CHL,1958,3886078
Chile,CHL,1959,3971525
Chile,CHL,1960,4058355
Chile,CHL,1961,4146099
Chile,CHL,1962,4234288
Chile,CHL,1963,4322939
Chile,CHL,1964,4411337
Chile,CHL,1965,4498691
Chile,CHL,1966,4585068
Chile,CHL,1967,4670541
Chile,CHL,1968,4755298
Chile,CHL,1969,4839900
Chile,CHL,1970,4924258
Chile,CHL,1971,5008407
Chile,CHL,1972,5092898
Chile,CHL,1973,5177690
Chile,CHL,1974,5262244
Chile,CHL,1975,5346764
Chile,CHL,1976,5431558
Chile,CHL,1977,5516494
Chile,CHL,1978,5601460
Chile,CHL,1979,5686400
Chile,CHL,1980,5772175
Chile,CHL,1981,5858719
Chile,CHL,1982,5946091
Chile,CHL,1983,6035771
Chile,CHL,1984,6128361
Chile,CHL,1985,6223809
Chile,CHL,1986,6321818
Chile,CHL,1987,6423097
Chile,CHL,1988,6528240
Chile,CHL,1989,6636415
Chile,CHL,1990,6747792
Chile,CHL,1991,6860924
Chile,CHL,1992,6972684
Chile,CHL,1993,7082333
Chile,CHL,1994,7190223
Chile,CHL,1995,7296799
Chile,CHL,1996,7400976
Chile,CHL,1997,7500942
Chile,CHL,1998,7599572
Chile,CHL,1999,7696490
Chile,CHL,2000,7789946
Chile,CHL,2001,7881448
Chile,CHL,2002,7970113
Chile,CHL,2003,8054911
Chile,CHL,2004,8137157
Chile,CHL,2005,8218883
Chile,CHL,2006,8300005
Chile,CHL,2007,8381923
Chile,CHL,2008,8466190
Chile,CHL,2009,8551902
Chile,CHL,2010,8638066
Chile,CHL,2011,8723365
Chile,CHL,2012,8806864
Chile,CHL,2013,8890611
Chile,CHL,2014,8979133
Chile,CHL,2015,9071158
Chile,CHL,2016,9181534
Chile,CHL,2017,9327875
Chile,CHL,2018,9495561
Chile,CHL,2019,9648586
Chile,CHL,2020,9737381
Chile,CHL,2021,9783970
Chile,CHL,2022,9835063
Chile,CHL,2023,9888674
China,CHN,1950,263929906
China,CHN,1951,268894701
China,CHN,1952,274650982
China,CHN,1953,280900016
China,CHN,1954,287194100
China,CHN,1955,293937447
China,CHN,1956,300491869
China,CHN,1957,307423866
China,CHN,1958,314395841
China,CHN,1959,318776053
China,CHN,1960,320062199
China,CHN,1961,320790179
China,CHN,1962,325551296
China,CHN,1963,335253907
China,CHN,1964,345313147
China,CHN,1965,354572962
China,CHN,1966,364003433
China,CHN,1967,373240914
China,CHN,1968,383118393
China,CHN,1969,393524046
China,CHN,1970,403929811
China,CHN,1971,414115183
China,CHN,1972,423726148
China,CHN,1973,432999514
China,CHN,1974,441724646
China,CHN,1975,449530171
China,CHN,1976,456571939
China,CHN,1977,463088859
China,CHN,1978,469345907
China,CHN,1979,475848173
China,CHN,1980,482709720
China,CHN,1981,489899020
China,CHN,1982,497717579
China,CHN,1983,505339077
China,CHN,1984,512613103
China,CHN,1985,520436370
China,CHN,1986,528945366
China,CHN,1987,538178412
China,CHN,1988,547403152
China,CHN,1989,556454242
China,CHN,1990,565856633
China,CHN,1991,574083824
China,CHN,1992,580663758
China,CHN,1993,586734930
China,CHN,1994,592305431
China,CHN,1995,597609175
China,CHN,1996,602764804
China,CHN,1997,607620054
China,CHN,1998,612236969
China,CHN,1999,616661401
China,CHN,2000,621107274
China,CHN,2001,625429614
China,CHN,2002,629275417
China,CHN,2003,632888524
China,CHN,2004,636473212
China,CHN,2005,640236365
China,CHN,2006,644059341
China,CHN,2007,647741109
China,CHN,2008,651542225
China,CHN,2009,655701714
China,CHN,2010,660037942
China,CHN,2011,664232356
China,CHN,2012,668737636
China,CHN,2013,673369544
China,CHN,2014,677770734
China,CHN,2015,681842484
China,CHN,2016,685829861
China,CHN,2017,690091757
China,CHN,2018,693603238
China,CHN,2019,696046217
China,CHN,2020,697654478
China,CHN,2021,698243857
China,CHN,2022,698088664
China,CHN,2023,697361638
Colombia,COL,1950,5918328
Colombia,COL,1951,6074955
Colombia,COL,1952,6239219
Colombia,COL,1953,6409995
Colombia,COL,1954,6587956
Colombia,COL,1955,6774465
Colombia,COL,1956,6969082
Colombia,COL,1957,7172755
Colombia,COL,1958,7382881
Colombia,COL,1959,7602458
Colombia,COL,1960,7835006
Colombia,COL,1961,8076711
Colombia,COL,1962,8325535
Colombia,COL,1963,8579505
Colombia,COL,1964,8837617
Colombia,COL,1965,9099531
Colombia,COL,1966,9362215
Colombia,COL,1967,9624492
Colombia,COL,1968,9886059
Colombia,COL,1969,10144902
Colombia,COL,1970,10401483
Colombia,COL,1971,10652168
Colombia,COL,1972,10899791
Colombia,COL,1973,11150453
Colombia,COL,1974,11402519
Colombia,COL,1975,11656366
Colombia,COL,1976,11911878
Colombia,COL,1977,12177864
Colombia,COL,1978,12455366
Colombia,COL,1979,12737741
Colombia,COL,1980,13032456
Colombia,COL,1981,13337462
Colombia,COL,1982,13650757
Colombia,COL,1983,13976713
Colombia,COL,1984,14305743
Colombia,COL,1985,14621538
Colombia,COL,1986,14931086
Colombia,COL,1987,15247026
Colombia,COL,1988,15569802
Colombia,COL,1989,15901018
Colombia,COL,1990,16242436
Colombia,COL,1991,16582607
Colombia,COL,1992,16926071
Colombia,COL,1993,17279128
Colombia,COL,1994,17633805
Colombia,COL,1995,17983260
Colombia,COL,1996,18322690
Colombia,COL,1997,18662194
Colombia,COL,1998,19007999
Colombia,COL,1999,19349906
Colombia,COL,2000,19678816
Colombia,COL,2001,20000327
Colombia,COL,2002,20319536
Colombia,COL,2003,20636114
Colombia,COL,2004,20947775
Colombia,COL,2005,21248757
Colombia,COL,2006,21537860
Colombia,COL,2007,21818482
Colombia,COL,2008,22088786
Colombia,COL,2009,22353274
Colombia,COL,2010,22613877
Colombia,COL,2011,22862815
Colombia,COL,2012,23098851
Colombia,COL,2013,23324567
Colombia,COL,2014,23538995
Colombia,COL,2015,23748380
Colombia,COL,2016,23988803
Colombia,COL,2017,24342008
Colombia,COL,2018,24795340
Colombia,COL,2019,25243948
Colombia,COL,2020,25616900
Colombia,COL,2021,25914907
Colombia,COL,2022,26204251
Colombia,COL,2023,26502594
Costa Rica,CRI,1950,462444
Costa Rica,CRI,1951,477973
Costa Rica,CRI,1952,494369
Costa Rica,CRI,1953,511713
Costa Rica,CRI,1954,530019
Costa Rica,CRI,1955,549235
Costa Rica,CRI,1956,569429
Costa Rica,CRI,1957,590618
Costa Rica,CRI,1958,612869
Costa Rica,CRI,1959,636164
Costa Rica,CRI,1960,660397
Costa Rica,CRI,1961,685359
Costa Rica,CRI,1962,710874
Costa Rica,CRI,1963,736722
Costa Rica,CRI,1964,762686
Costa Rica,CRI,1965,788585
Costa Rica,CRI,1966,814320
Costa Rica,CRI,1967,839815
Costa Rica,CRI,1968,864721
Costa Rica,CRI,1969,889296
Costa Rica,CRI,1970,913978
Costa Rica,CRI,1971,938670
Costa Rica,CRI,1972,963417
Costa Rica,CRI,1973,988372
Costa Rica,CRI,1974,1014007
Costa Rica,CRI,1975,1040577
Costa Rica,CRI,1976,1068206
Costa Rica,CRI,1977,1096965
Costa Rica,CRI,1978,1126867
Costa Rica,CRI,1979,1158028
Costa Rica,CRI,1980,1190218
Costa Rica,CRI,1981,1223298
Costa Rica,CRI,1982,1257401
Costa Rica,CRI,1983,1292513
Costa Rica,CRI,1984,1328626
Costa Rica,CRI,1985,1365643
Costa Rica,CRI,1986,1403140
Costa Rica,CRI,1987,1440737
Costa Rica,CRI,1988,1478326
Costa Rica,CRI,1989,1516191
Costa Rica,CRI,1990,1555545
Costa Rica,CRI,1991,1596738
Costa Rica,CRI,1992,1639158
Costa Rica,CRI,1993,1682415
Costa Rica,CRI,1994,1726165
Costa Rica,CRI,1995,1770293
Costa Rica,CRI,1996,1814501
Costa Rica,CRI,1997,1858219
Costa Rica,CRI,1998,1901064
Costa Rica,CRI,1999,1942709
Costa Rica,CRI,2000,1982049
Costa Rica,CRI,2001,2018751
Costa Rica,CRI,2002,2052996
Costa Rica,CRI,2003,2085299
Costa Rica,CRI,2004,2116715
Costa Rica,CRI,2005,2148057
Costa Rica,CRI,2006,2178885
Costa Rica,CRI,2007,2209159
Costa Rica,CRI,2008,2239876
Costa Rica,CRI,2009,2270507
Costa Rica,CRI,2010,2299275
Costa Rica,CRI,2011,2326773
Costa Rica,CRI,2012,2354168
Costa Rica,CRI,2013,2380557
Costa Rica,CRI,2014,2406366
Costa Rica,CRI,2015,2432277
Costa Rica,CRI,2016,2457275
Costa Rica,CRI,2017,2480842
Costa Rica,CRI,2018,2503747
Costa Rica,CRI,2019,2525257
Costa Rica,CRI,2020,2543507
Costa Rica,CRI,2021,2557637
Costa Rica,CRI,2022,2569724
Costa Rica,CRI,2023,2582388
Croatia,HRV,1950,2085146
Croatia,HRV,1951,2106996
Croatia,HRV,1952,2128333
Croatia,HRV,1953,2150991
Croatia,HRV,1954,2169396
Croatia,HRV,1955,2182435
Croatia,HRV,1956,2194141
Croatia,HRV,1957,2204706
Croatia,HRV,1958,2214260
Croatia,HRV,1959,2222853
Croatia,HRV,1960,2230328
Croatia,HRV,1961,2239651
Croatia,HRV,1962,2251852
Croatia,HRV,1963,2264074
Croatia,HRV,1964,2275558
Croatia,HRV,1965,2286430
Croatia,HRV,1966,2296842
Croatia,HRV,1967,2306726
Croatia,HRV,1968,2315698
Croatia,HRV,1969,2323507
Croatia,HRV,1970,2330223
Croatia,HRV,1971,2336810
Croatia,HRV,1972,2343973
Croatia,HRV,1973,2351528
Croatia,HRV,1974,2359563
Croatia,HRV,1975,2368280
Croatia,HRV,1976,2377528
Croatia,HRV,1977,2387040
Croatia,HRV,1978,2396522
Croatia,HRV,1979,2405908
Croatia,HRV,1980,2414739
Croatia,HRV,1981,2425197
Croatia,HRV,1982,2437996
Croatia,HRV,1983,2450416
Croatia,HRV,1984,2461923
Croatia,HRV,1985,2472577
Croatia,HRV,1986,2482197
Croatia,HRV,1987,2490930
Croatia,HRV,1988,2498833
Croatia,HRV,1989,2506036
Croatia,HRV,1990,2513126
Croatia,HRV,1991,2508239
Croatia,HRV,1992,2486512
Croatia,HRV,1993,2459414
Croatia,HRV,1994,2431131
Croatia,HRV,1995,2401765
Croatia,HRV,1996,2371725
Croatia,HRV,1997,2341258
Croatia,HRV,1998,2310102
Croatia,HRV,1999,2278449
Croatia,HRV,2000,2246968
Croatia,HRV,2001,2233755
Croatia,HRV,2002,2236586
Croatia,HRV,2003,2237643
Croatia,HRV,2004,2239259
Croatia,HRV,2005,2240897
Croatia,HRV,2006,2241077
Croatia,HRV,2007,2240008
Croatia,HRV,2008,2238621
Croatia,HRV,2009,2235816
Croatia,HRV,2010,2230467
Croatia,HRV,2011,2220341
Croatia,HRV,2012,2209336
Croatia,HRV,2013,2200117
Croatia,HRV,2014,2187798
Croatia,HRV,2015,2168973
Croatia,HRV,2016,2144318
Croatia,HRV,2017,2114525
Croatia,HRV,2018,2086353
Croatia,HRV,2019,2066253
Croatia,HRV,2020,2049089
Croatia,HRV,2021,2033535
Croatia,HRV,2022,2023827
Croatia,HRV,2023,2017330
Cuba,CUB,1950,2864174
Cuba,CUB,1951,2924910
Cuba,CUB,1952,2986861
Cuba,CUB,1953,3050632
Cuba,CUB,1954,3116162
Cuba,CUB,1955,3183215
Cuba,CUB,1956,3251688
Cuba,CUB,1957,3321611
Cuba,CUB,1958,3392991
Cuba,CUB,1959,3466017
Cuba,CUB,1960,3540745
Cuba,CUB,1961,3617161
Cuba,CUB,1962,3696080
Cuba,CUB,1963,3778079
Cuba,CUB,1964,3861771
Cuba,CUB,1965,3945446
Cuba,CUB,1966,4027755
Cuba,CUB,1967,4108143
Cuba,CUB,1968,4187318
Cuba,CUB,1969,4266566
Cuba,CUB,1970,4345937
Cuba,CUB,1971,4422381
Cuba,CUB,1972,4492661
Cuba,CUB,1973,4556314
Cuba,CUB,1974,4613812
Cuba,CUB,1975,4664722
Cuba,CUB,1976,4708544
Cuba,CUB,1977,4745119
Cuba,CUB,1978,4774945
Cuba,CUB,1979,4799060
Cuba,CUB,1980,4818699
Cuba,CUB,1981,4842089
Cuba,CUB,1982,4876673
Cuba,CUB,1983,4918307
Cuba,CUB,1984,4961459
Cuba,CUB,1985,5005077
Cuba,CUB,1986,5049969
Cuba,CUB,1987,5096898
Cuba,CUB,1988,5146712
Cuba,CUB,1989,5197889
Cuba,CUB,1990,5247878
Cuba,CUB,1991,5291450
Cuba,CUB,1992,5326289
Cuba,CUB,1993,5354831
Cuba,CUB,1994,5380773
Cuba,CUB,1995,5406226
Cuba,CUB,1996,5430265
Cuba,CUB,1997,5454066
Cuba,CUB,1998,5478806
Cuba,CUB,1999,5504517
Cuba,CUB,2000,5530181
Cuba,CUB,2001,5554740
Cuba,CUB,2002,5577855
Cuba,CUB,2003,5599317
Cuba,CUB,2004,5619072
Cuba,CUB,2005,5636321
Cuba,CUB,2006,5649825
Cuba,CUB,2007,5659633
Cuba,CUB,2008,5667206
Cuba,CUB,2009,5673945
Cuba,CUB,2010,5680501
Cuba,CUB,2011,5687792
Cuba,CUB,2012,5691664
Cuba,CUB,2013,5690157
Cuba,CUB,2014,5685200
Cuba,CUB,2015,5681400
Cuba,CUB,2016,5678775
Cuba,CUB,2017,5672586
Cuba,CUB,2018,5665170
Cuba,CUB,2019,5656042
Cuba,CUB,2020,5646057
Cuba,CUB,2021,5624502
Cuba,CUB,2022,5598475
Cuba,CUB,2023,5580984
Cyprus,CYP,1950,250137
Cyprus,CYP,1951,254049
Cyprus,CYP,1952,258145
