Entity,Code,Year,Population - Sex: male - Age: all - Variant: estimates
Bolivia,BOL,2001,4427867
Bolivia,BOL,2002,4504097
Bolivia,BOL,2003,4578604
Bolivia,BOL,2004,4654697
Bolivia,BOL,2005,4732201
Bolivia,BOL,2006,4811976
Bolivia,BOL,2007,4893403
Bolivia,BOL,2008,4975072
Bolivia,BOL,2009,5057043
Bolivia,BOL,2010,5139323
Bolivia,BOL,2011,5221824
Bolivia,BOL,2012,5304438
Bolivia,BOL,2013,5386947
Bolivia,BOL,2014,5469083
Bolivia,BOL,2015,5550942
Bolivia,BOL,2016,5632458
Bolivia,BOL,2017,5713458
Bolivia,BOL,2018,5793933
Bolivia,BOL,2019,5873941
Bolivia,BOL,2020,5940070
Bolivia,BOL,2021,5989945
Bolivia,BOL,2022,6053749
Bolivia,BOL,2023,6135728
Bosnia and Herzegovina,BIH,1950,1298663
Bosnia and Herzegovina,BIH,1951,1319525
Bosnia and Herzegovina,BIH,1952,1343017
Bosnia and Herzegovina,BIH,1953,1368683
Bosnia and Herzegovina,BIH,1954,1394240
Bosnia and Herzegovina,BIH,1955,1419915
Bosnia and Herzegovina,BIH,1956,1445910
Bosnia and Herzegovina,BIH,1957,1471988
Bosnia and Herzegovina,BIH,1958,1498208
Bosnia and Herzegovina,BIH,1959,1524723
Bosnia and Herzegovina,BIH,1960,1551532
Bosnia and Herzegovina,BIH,1961,1580414
Bosnia and Herzegovina,BIH,1962,1610612
Bosnia and Herzegovina,BIH,1963,1639285
Bosnia and Herzegovina,BIH,1964,1666259
Bosnia and Herzegovina,BIH,1965,1691936
Bosnia and Herzegovina,BIH,1966,1716477
Bosnia and Herzegovina,BIH,1967,1739651
Bosnia and Herzegovina,BIH,1968,1760864
Bosnia and Herzegovina,BIH,1969,1779773
Bosnia and Herzegovina,BIH,1970,1796265
Bosnia and Herzegovina,BIH,1971,1814768
Bosnia and Herzegovina,BIH,1972,1837441
Bosnia and Herzegovina,BIH,1973,1860841
Bosnia and Herzegovina,BIH,1974,1884046
Bosnia and Herzegovina,BIH,1975,1907097
Bosnia and Herzegovina,BIH,1976,1929726
Bosnia and Herzegovina,BIH,1977,1951597
Bosnia and Herzegovina,BIH,1978,1972532
Bosnia and Herzegovina,BIH,1979,1992593
Bosnia and Herzegovina,BIH,1980,2012277
Bosnia and Herzegovina,BIH,1981,2032016
Bosnia and Herzegovina,BIH,1982,2051565
Bosnia and Herzegovina,BIH,1983,2070729
Bosnia and Herzegovina,BIH,1984,2089392
Bosnia and Herzegovina,BIH,1985,2107140
Bosnia and Herzegovina,BIH,1986,2123479
Bosnia and Herzegovina,BIH,1987,2138011
Bosnia and Herzegovina,BIH,1988,2150558
Bosnia and Herzegovina,BIH,1989,2160783
Bosnia and Herzegovina,BIH,1990,2168611
Bosnia and Herzegovina,BIH,1991,2174073
Bosnia and Herzegovina,BIH,1992,2055031
Bosnia and Herzegovina,BIH,1993,1875658
Bosnia and Herzegovina,BIH,1994,1776708
Bosnia and Herzegovina,BIH,1995,1768508
Bosnia and Herzegovina,BIH,1996,1847564
Bosnia and Herzegovina,BIH,1997,1918827
Bosnia and Herzegovina,BIH,1998,1954290
Bosnia and Herzegovina,BIH,1999,1974848
Bosnia and Herzegovina,BIH,2000,1989800
Bosnia and Herzegovina,BIH,2001,1999872
Bosnia and Herzegovina,BIH,2002,2004285
Bosnia and Herzegovina,BIH,2003,1999677
Bosnia and Herzegovina,BIH,2004,1980961
Bosnia and Herzegovina,BIH,2005,1958625
Bosnia and Herzegovina,BIH,2006,1941755
Bosnia and Herzegovina,BIH,2007,1916526
Bosnia and Herzegovina,BIH,2008,1883405
Bosnia and Herzegovina,BIH,2009,1849482
Bosnia and Herzegovina,BIH,2010,1815441
Bosnia and Herzegovina,BIH,2011,1780883
Bosnia and Herzegovina,BIH,2012,1745491
Bosnia and Herzegovina,BIH,2013,1716451
Bosnia and Herzegovina,BIH,2014,1694281
Bosnia and Herzegovina,BIH,2015,1672168
Bosnia and Herzegovina,BIH,2016,1650653
Bosnia and Herzegovina,BIH,2017,1630145
Bosnia and Herzegovina,BIH,2018,1610404
Bosnia and Herzegovina,BIH,2019,1590489
Bosnia and Herzegovina,BIH,2020,1568696
Bosnia and Herzegovina,BIH,2021,1543349
Bosnia and Herzegovina,BIH,2022,1524183
Bosnia and Herzegovina,BIH,2023,1514661
Brazil,BRA,1950,26926878
Brazil,BRA,1951,27718840
Brazil,BRA,1952,28543071
Brazil,BRA,1953,29398859
Brazil,BRA,1954,30286427
Brazil,BRA,1955,31206681
Brazil,BRA,1956,32160234
Brazil,BRA,1957,33146327
Brazil,BRA,1958,34164219
Brazil,BRA,1959,35213193
Brazil,BRA,1960,36288089
Brazil,BRA,1961,37384877
Brazil,BRA,1962,38502703
Brazil,BRA,1963,39639712
Brazil,BRA,1964,40788927
Brazil,BRA,1965,41939800
Brazil,BRA,1966,43086544
Brazil,BRA,1967,44225493
Brazil,BRA,1968,45358478
Brazil,BRA,1969,46496110
Brazil,BRA,1970,47646493
Brazil,BRA,1971,48813915
Brazil,BRA,1972,50003565
Brazil,BRA,1973,51217062
Brazil,BRA,1974,52448503
Brazil,BRA,1975,53701640
Brazil,BRA,1976,54988051
Brazil,BRA,1977,56309641
Brazil,BRA,1978,57663893
Brazil,BRA,1979,59045471
Brazil,BRA,1980,60450779
Brazil,BRA,1981,61871376
Brazil,BRA,1982,63294820
Brazil,BRA,1983,64722067
Brazil,BRA,1984,66150367
Brazil,BRA,1985,67572321
Brazil,BRA,1986,68975691
Brazil,BRA,1987,70352248
Brazil,BRA,1988,71703531
Brazil,BRA,1989,73029305
Brazil,BRA,1990,74332633
Brazil,BRA,1991,75601835
Brazil,BRA,1992,76851450
Brazil,BRA,1993,78081674
Brazil,BRA,1994,79285309
Brazil,BRA,1995,80487832
Brazil,BRA,1996,81688620
Brazil,BRA,1997,82884667
Brazil,BRA,1998,84099369
Brazil,BRA,1999,85304526
Brazil,BRA,2000,86454834
Brazil,BRA,2001,87555745
Brazil,BRA,2002,88614174
Brazil,BRA,2003,89629547
Brazil,BRA,2004,90610757
Brazil,BRA,2005,91571960
Brazil,BRA,2006,92509038
Brazil,BRA,2007,93412517
Brazil,BRA,2008,94272740
Brazil,BRA,2009,95081283
Brazil,BRA,2010,95844361
Brazil,BRA,2011,96587066
Brazil,BRA,2012,97333272
Brazil,BRA,2013,98085091
Brazil,BRA,2014,98839565
Brazil,BRA,2015,99587455
Brazil,BRA,2016,100309737
Brazil,BRA,2017,101001718
Brazil,BRA,2018,101654524
Brazil,BRA,2019,102280724
Brazil,BRA,2020,102844479
Brazil,BRA,2021,103236458
Brazil,BRA,2022,103548936
Brazil,BRA,2023,103913061
Bulgaria,BGR,1950,3623546
Bulgaria,BGR,1951,3655573
Bulgaria,BGR,1952,3678415
Bulgaria,BGR,1953,3704619
Bulgaria,BGR,1954,3733864
Bulgaria,BGR,1955,3761480
Bulgaria,BGR,1956,3787223
Bulgaria,BGR,1957,3818042
Bulgaria,BGR,1958,3856001
Bulgaria,BGR,1959,3891162
Bulgaria,BGR,1960,3926137
Bulgaria,BGR,1961,3964510
Bulgaria,BGR,1962,4000053
Bulgaria,BGR,1963,4033293
Bulgaria,BGR,1964,4067054
Bulgaria,BGR,1965,4100314
Bulgaria,BGR,1966,4130454
Bulgaria,BGR,1967,4156508
Bulgaria,BGR,1968,4185940
Bulgaria,BGR,1969,4217709
Bulgaria,BGR,1970,4244977
Bulgaria,BGR,1971,4268287
Bulgaria,BGR,1972,4287716
Bulgaria,BGR,1973,4309043
Bulgaria,BGR,1974,4336867
Bulgaria,BGR,1975,4355976
Bulgaria,BGR,1976,4372792
Bulgaria,BGR,1977,4393635
Bulgaria,BGR,1978,4395853
Bulgaria,BGR,1979,4399185
Bulgaria,BGR,1980,4414136
Bulgaria,BGR,1981,4425750
Bulgaria,BGR,1982,4435638
Bulgaria,BGR,1983,4442652
Bulgaria,BGR,1984,4448553
Bulgaria,BGR,1985,4443746
Bulgaria,BGR,1986,4437730
Bulgaria,BGR,1987,4439689
Bulgaria,BGR,1988,4440303
Bulgaria,BGR,1989,4411178
Bulgaria,BGR,1990,4349115
Bulgaria,BGR,1991,4281178
Bulgaria,BGR,1992,4207923
Bulgaria,BGR,1993,4156803
Bulgaria,BGR,1994,4127609
Bulgaria,BGR,1995,4093446
Bulgaria,BGR,1996,4056515
Bulgaria,BGR,1997,4016304
Bulgaria,BGR,1998,3973570
Bulgaria,BGR,1999,3935184
Bulgaria,BGR,2000,3899427
Bulgaria,BGR,2001,3861197
Bulgaria,BGR,2002,3827097
Bulgaria,BGR,2003,3798453
Bulgaria,BGR,2004,3770731
Bulgaria,BGR,2005,3743276
Bulgaria,BGR,2006,3715836
Bulgaria,BGR,2007,3689537
Bulgaria,BGR,2008,3664689
Bulgaria,BGR,2009,3641844
Bulgaria,BGR,2010,3617778
Bulgaria,BGR,2011,3590373
Bulgaria,BGR,2012,3560506
Bulgaria,BGR,2013,3534853
Bulgaria,BGR,2014,3513307
Bulgaria,BGR,2015,3489402
Bulgaria,BGR,2016,3463405
Bulgaria,BGR,2017,3436049
Bulgaria,BGR,2018,3408919
Bulgaria,BGR,2019,3382534
Bulgaria,BGR,2020,3359490
Bulgaria,BGR,2021,3330248
Bulgaria,BGR,2022,3304457
Bulgaria,BGR,2023,3289035
Cambodia,KHM,1950,2188710
Cambodia,KHM,1951,2240051
Cambodia,KHM,1952,2292181
Cambodia,KHM,1953,2344407
Cambodia,KHM,1954,2397114
Cambodia,KHM,1955,2451350
Cambodia,KHM,1956,2506849
Cambodia,KHM,1957,2563252
Cambodia,KHM,1958,2619356
Cambodia,KHM,1959,2676244
Cambodia,KHM,1960,2735446
Cambodia,KHM,1961,2796613
Cambodia,KHM,1962,2860247
Cambodia,KHM,1963,2923384
Cambodia,KHM,1964,2985314
Cambodia,KHM,1965,3048592
Cambodia,KHM,1966,3113214
Cambodia,KHM,1967,3178831
Cambodia,KHM,1968,3245481
Cambodia,KHM,1969,3313579
Cambodia,KHM,1970,3321795
Cambodia,KHM,1971,3295497
Cambodia,KHM,1972,3305201
Cambodia,KHM,1973,3321657
Cambodia,KHM,1974,3327156
Cambodia,KHM,1975,3193602
Cambodia,KHM,1976,2935068
Cambodia,KHM,1977,2681736
Cambodia,KHM,1978,2431434
Cambodia,KHM,1979,2352594
Cambodia,KHM,1980,2403216
Cambodia,KHM,1981,2445334
Cambodia,KHM,1982,2521044
Cambodia,KHM,1983,2620683
Cambodia,KHM,1984,2724975
Cambodia,KHM,1985,2824142
Cambodia,KHM,1986,2948261
Cambodia,KHM,1987,3092040
Cambodia,KHM,1988,3223438
Cambodia,KHM,1989,3359354
Cambodia,KHM,1990,3520596
Cambodia,KHM,1991,3687698
Cambodia,KHM,1992,3907385
Cambodia,KHM,1993,4161082
Cambodia,KHM,1994,4460519
Cambodia,KHM,1995,4824129
Cambodia,KHM,1996,5189730
Cambodia,KHM,1997,5548832
Cambodia,KHM,1998,5780995
Cambodia,KHM,1999,5889001
Cambodia,KHM,2000,5992847
Cambodia,KHM,2001,6096566
Cambodia,KHM,2002,6200472
Cambodia,KHM,2003,6303714
Cambodia,KHM,2004,6406268
Cambodia,KHM,2005,6509664
Cambodia,KHM,2006,6616555
Cambodia,KHM,2007,6725389
Cambodia,KHM,2008,6837988
Cambodia,KHM,2009,6953169
Cambodia,KHM,2010,7065968
Cambodia,KHM,2011,7177657
Cambodia,KHM,2012,7289444
Cambodia,KHM,2013,7402328
Cambodia,KHM,2014,7515817
Cambodia,KHM,2015,7629188
Cambodia,KHM,2016,7744215
Cambodia,KHM,2017,7854505
Cambodia,KHM,2018,7954398
Cambodia,KHM,2019,8057387
Cambodia,KHM,2020,8180642
Cambodia,KHM,2021,8306912
Cambodia,KHM,2022,8421854
Cambodia,KHM,2023,8533946
Canada,CAN,1950,6966367
Canada,CAN,1951,7131347
Canada,CAN,1952,7335756
Canada,CAN,1953,7550883
Canada,CAN,1954,7766327
Canada,CAN,1955,7973431
Canada,CAN,1956,8191283
Canada,CAN,1957,8433446
Canada,CAN,1958,8664741
Canada,CAN,1959,8869041
Canada,CAN,1960,9055791
Canada,CAN,1961,9229082
Canada,CAN,1962,9393279
Canada,CAN,1963,9557339
Canada,CAN,1964,9725669
Canada,CAN,1965,9898085
Canada,CAN,1966,10074528
Canada,CAN,1967,10246859
Canada,CAN,1968,10404271
Canada,CAN,1969,10548764
Canada,CAN,1970,10751241
Canada,CAN,1971,10986976
Canada,CAN,1972,11152137
Canada,CAN,1973,11284038
Canada,CAN,1974,11432175
Canada,CAN,1975,11585332
Canada,CAN,1976,11726899
Canada,CAN,1977,11850818
Canada,CAN,1978,11961433
Canada,CAN,1979,12078904
Canada,CAN,1980,12217883
Canada,CAN,1981,12364662
Canada,CAN,1982,12503082
Canada,CAN,1983,12629555
Canada,CAN,1984,12748597
Canada,CAN,1985,12868845
Canada,CAN,1986,13005871
Canada,CAN,1987,13167553
Canada,CAN,1988,13354827
Canada,CAN,1989,13565159
Canada,CAN,1990,13771972
Canada,CAN,1991,13953613
Canada,CAN,1992,14116848
Canada,CAN,1993,14272576
Canada,CAN,1994,14424775
Canada,CAN,1995,14574744
Canada,CAN,1996,14726107
Canada,CAN,1997,14872768
Canada,CAN,1998,15006821
Canada,CAN,1999,15140413
Canada,CAN,2000,15290058
Canada,CAN,2001,15456260
Canada,CAN,2002,15620158
Canada,CAN,2003,15770777
Canada,CAN,2004,15918827
Canada,CAN,2005,16073491
Canada,CAN,2006,16232821
Canada,CAN,2007,16396807
Canada,CAN,2008,16572557
Canada,CAN,2009,16759246
Canada,CAN,2010,16943016
Canada,CAN,2011,17123506
Canada,CAN,2012,17311935
Canada,CAN,2013,17502586
Canada,CAN,2014,17674846
Canada,CAN,2015,17837658
Canada,CAN,2016,18032654
Canada,CAN,2017,18263587
Canada,CAN,2018,18514932
Canada,CAN,2019,18766221
Canada,CAN,2020,18964448
Canada,CAN,2021,19105374
Canada,CAN,2022,19282355
Canada,CAN,2023,19515582
Chile,CHL,1950,3346602
Chile,CHL,1951,3409771
Chile,CHL,1952,3476407
Chile,CHL,1953,3546077
Chile,CHL,1954,3618455
Chile,CHL,1955,3693104
Chile,CHL,1956,3770191
Chile,CHL,1957,3849286
Chile,CHL,1958,3929918
Chile,CHL,1959,4011899
Chile,CHL,1960,4094997
Chile,CHL,1961,4178710
Chile,CHL,1962,4262773
Chile,CHL,1963,4347215
Chile,CHL,1964,4431199
Chile,CHL,1965,4514249
Chile,CHL,1966,4596662
Chile,CHL,1967,4678403
Chile,CHL,1968,4759424
Chile,CHL,1969,4840394
Chile,CHL,1970,4921086
Chile,CHL,1971,5001298
Chile,CHL,1972,5081786
Chile,CHL,1973,5162677
Chile,CHL,1974,5243581
Chile,CHL,1975,5324799
Chile,CHL,1976,5406691
Chile,CHL,1977,5489026
Chile,CHL,1978,5571232
Chile,CHL,1979,5653385
Chile,CHL,1980,5736383
Chile,CHL,1981,5820002
Chile,CHL,1982,5904123
Chile,CHL,1983,5990376
Chile,CHL,1984,6079379
Chile,CHL,1985,6171463
Chile,CHL,1986,6267097
Chile,CHL,1987,6367057
Chile,CHL,1988,6471183
Chile,CHL,1989,6578595
Chile,CHL,1990,6689386
Chile,CHL,1991,6801568
Chile,CHL,1992,6911899
Chile,CHL,1993,7019956
Chile,CHL,1994,7126035
Chile,CHL,1995,7230580
Chile,CHL,1996,7333067
Chile,CHL,1997,7431504
Chile,CHL,1998,7528231
Chile,CHL,1999,7622828
Chile,CHL,2000,7713692
Chile,CHL,2001,7802408
Chile,CHL,2002,7887816
Chile,CHL,2003,7969844
Chile,CHL,2004,8050173
Chile,CHL,2005,8129897
Chile,CHL,2006,8209186
Chile,CHL,2007,8289656
Chile,CHL,2008,8372799
Chile,CHL,2009,8457830
Chile,CHL,2010,8543402
Chile,CHL,2011,8628445
Chile,CHL,2012,8712257
Chile,CHL,2013,8796397
Chile,CHL,2014,8885071
Chile,CHL,2015,8976455
Chile,CHL,2016,9085692
Chile,CHL,2017,9230994
Chile,CHL,2018,9397629
Chile,CHL,2019,9549157
Chile,CHL,2020,9633241
Chile,CHL,2021,9672370
Chile,CHL,2022,9717969
Chile,CHL,2023,9770164
China,CHN,1950,280114456
China,CHN,1951,284863550
China,CHN,1952,290480466
China,CHN,1953,296657117
China,CHN,1954,302919766
China,CHN,1955,309609560
China,CHN,1956,316066713
China,CHN,1957,322932358
China,CHN,1958,329823637
China,CHN,1959,333932157
China,CHN,1960,334739864
China,CHN,1961,334983304
China,CHN,1962,339522390
China,CHN,1963,349298743
China,CHN,1964,359485118
China,CHN,1965,368842778
China,CHN,1966,378398778
China,CHN,1967,387785112
China,CHN,1968,397892629
China,CHN,1969,408616292
China,CHN,1970,419379150
China,CHN,1971,429954690
China,CHN,1972,439951661
China,CHN,1973,449577436
China,CHN,1974,458582943
China,CHN,1975,466586625
China,CHN,1976,473800358
China,CHN,1977,480457521
China,CHN,1978,486815585
China,CHN,1979,493439899
China,CHN,1980,500453818
China,CHN,1981,507822052
China,CHN,1982,515870604
China,CHN,1983,523725879
China,CHN,1984,531236532
China,CHN,1985,539371455
China,CHN,1986,548288240
China,CHN,1987,558039037
China,CHN,1988,567841014
China,CHN,1989,577536769
China,CHN,1990,587726094
China,CHN,1991,596704704
China,CHN,1992,603910478
China,CHN,1993,610573643
China,CHN,1994,616697666
China,CHN,1995,622524753
China,CHN,1996,628180000
China,CHN,1997,633519572
China,CHN,1998,638610158
China,CHN,1999,643515255
China,CHN,2000,648473897
China,CHN,2001,653295455
China,CHN,2002,657591411
China,CHN,2003,661628800
China,CHN,2004,665627105
China,CHN,2005,669790767
China,CHN,2006,673994688
China,CHN,2007,678072473
China,CHN,2008,682278799
China,CHN,2009,686821005
China,CHN,2010,691523567
China,CHN,2011,696018307
China,CHN,2012,700783230
China,CHN,2013,705638495
China,CHN,2014,710181240
China,CHN,2015,714291690
China,CHN,2016,718222764
China,CHN,2017,722262964
China,CHN,2018,725405720
China,CHN,2019,727474138
China,CHN,2020,728451611
China,CHN,2021,728193411
China,CHN,2022,727090902
China,CHN,2023,725223295
Colombia,COL,1950,5848666
Colombia,COL,1951,6003868
Colombia,COL,1952,6166626
Colombia,COL,1953,6336036
Colombia,COL,1954,6512896
Colombia,COL,1955,6698597
Colombia,COL,1956,6892731
Colombia,COL,1957,7097522
Colombia,COL,1958,7310411
Colombia,COL,1959,7533762
Colombia,COL,1960,7771213
Colombia,COL,1961,8018485
Colombia,COL,1962,8273509
Colombia,COL,1963,8534323
Colombia,COL,1964,8799801
Colombia,COL,1965,9069530
Colombia,COL,1966,9340471
Colombia,COL,1967,9611130
Colombia,COL,1968,9880747
Colombia,COL,1969,10147049
Colombia,COL,1970,10410300
Colombia,COL,1971,10666930
Colombia,COL,1972,10919773
Colombia,COL,1973,11174928
Colombia,COL,1974,11430951
Colombia,COL,1975,11688283
Colombia,COL,1976,11946939
Colombia,COL,1977,12215635
Colombia,COL,1978,12494976
Colombia,COL,1979,12777884
Colombia,COL,1980,13072054
Colombia,COL,1981,13375806
Colombia,COL,1982,13687585
Colombia,COL,1983,14011469
Colombia,COL,1984,14336951
Colombia,COL,1985,14646941
Colombia,COL,1986,14948025
Colombia,COL,1987,15252453
Colombia,COL,1988,15560723
Colombia,COL,1989,15875267
Colombia,COL,1990,16197634
Colombia,COL,1991,16515770
Colombia,COL,1992,16834501
Colombia,COL,1993,17162341
Colombia,COL,1994,17493608
Colombia,COL,1995,17821396
Colombia,COL,1996,18140061
Colombia,COL,1997,18458957
Colombia,COL,1998,18784168
Colombia,COL,1999,19104959
Colombia,COL,2000,19411120
Colombia,COL,2001,19708941
Colombia,COL,2002,20005158
Colombia,COL,2003,20301322
Colombia,COL,2004,20595402
Colombia,COL,2005,20880226
Colombia,COL,2006,21153224
Colombia,COL,2007,21416885
Colombia,COL,2008,21670023
Colombia,COL,2009,21918272
Colombia,COL,2010,22163436
Colombia,COL,2011,22396798
Colombia,COL,2012,22616960
Colombia,COL,2013,22827012
Colombia,COL,2014,23026428
Colombia,COL,2015,23221557
Colombia,COL,2016,23448712
Colombia,COL,2017,23789068
Colombia,COL,2018,24229133
Colombia,COL,2019,24664040
Colombia,COL,2020,25013105
Colombia,COL,2021,25273269
Colombia,COL,2022,25533689
Colombia,COL,2023,25818558
Costa Rica,CRI,1950,464335
Costa Rica,CRI,1951,480458
Costa Rica,CRI,1952,497432
Costa Rica,CRI,1953,515310
Costa Rica,CRI,1954,534115
Costa Rica,CRI,1955,553820
Costa Rica,CRI,1956,574433
Costa Rica,CRI,1957,596027
Costa Rica,CRI,1958,618700
Costa Rica,CRI,1959,642442
Costa Rica,CRI,1960,667114
Costa Rica,CRI,1961,692576
Costa Rica,CRI,1962,718590
Costa Rica,CRI,1963,744896
Costa Rica,CRI,1964,771283
Costa Rica,CRI,1965,797641
Costa Rica,CRI,1966,823818
Costa Rica,CRI,1967,849715
Costa Rica,CRI,1968,875019
Costa Rica,CRI,1969,899990
Costa Rica,CRI,1970,924983
Costa Rica,CRI,1971,949885
Costa Rica,CRI,1972,974844
Costa Rica,CRI,1973,999975
Costa Rica,CRI,1974,1025655
Costa Rica,CRI,1975,1052154
Costa Rica,CRI,1976,1079587
Costa Rica,CRI,1977,1108076
Costa Rica,CRI,1978,1137651
Costa Rica,CRI,1979,1168473
Costa Rica,CRI,1980,1200423
Costa Rica,CRI,1981,1233341
Costa Rica,CRI,1982,1267411
Costa Rica,CRI,1983,1302652
Costa Rica,CRI,1984,1338978
Costa Rica,CRI,1985,1376265
Costa Rica,CRI,1986,1414086
Costa Rica,CRI,1987,1451967
Costa Rica,CRI,1988,1489785
Costa Rica,CRI,1989,1527656
Costa Rica,CRI,1990,1566180
Costa Rica,CRI,1991,1605446
Costa Rica,CRI,1992,1645111
Costa Rica,CRI,1993,1685023
Costa Rica,CRI,1994,1724973
Costa Rica,CRI,1995,1764894
Costa Rica,CRI,1996,1804514
Costa Rica,CRI,1997,1843501
Costa Rica,CRI,1998,1881780
Costa Rica,CRI,1999,1919389
Costa Rica,CRI,2000,1955690
Costa Rica,CRI,2001,1990214
Costa Rica,CRI,2002,2022718
Costa Rica,CRI,2003,2053500
Costa Rica,CRI,2004,2083370
Costa Rica,CRI,2005,2113179
Costa Rica,CRI,2006,2142457
Costa Rica,CRI,2007,2171092
Costa Rica,CRI,2008,2200189
Costa Rica,CRI,2009,2229294
Costa Rica,CRI,2010,2256693
Costa Rica,CRI,2011,2283072
Costa Rica,CRI,2012,2309762
Costa Rica,CRI,2013,2335602
Costa Rica,CRI,2014,2360757
Costa Rica,CRI,2015,2385769
Costa Rica,CRI,2016,2409722
Costa Rica,CRI,2017,2432348
Costa Rica,CRI,2018,2454078
Costa Rica,CRI,2019,2474304
Costa Rica,CRI,2020,2490816
Costa Rica,CRI,2021,2502353
Costa Rica,CRI,2022,2512040
Costa Rica,CRI,2023,2523140
Croatia,HRV,1950,1779846
Croatia,HRV,1951,1804683
Croatia,HRV,1952,1829092
Croatia,HRV,1953,1855141
Croatia,HRV,1954,1878719
Croatia,HRV,1955,1898309
Croatia,HRV,1956,1915990
Croatia,HRV,1957,1932003
Croatia,HRV,1958,1946438
Croatia,HRV,1959,1959243
Croatia,HRV,1960,1969937
Croatia,HRV,1961,1983786
Croatia,HRV,1962,2003172
Croatia,HRV,1963,2023193
Croatia,HRV,1964,2042214
Croatia,HRV,1965,2060285
Croatia,HRV,1966,2077457
Croatia,HRV,1967,2093549
Croatia,HRV,1968,2108139
Croatia,HRV,1969,2120945
Croatia,HRV,1970,2132455
Croatia,HRV,1971,2143359
Croatia,HRV,1972,2153936
Croatia,HRV,1973,2164230
Croatia,HRV,1974,2174382
Croatia,HRV,1975,2184463
Croatia,HRV,1976,2194234
Croatia,HRV,1977,2203592
Croatia,HRV,1978,2212505
Croatia,HRV,1979,2221045
Croatia,HRV,1980,2229170
Croatia,HRV,1981,2239077
Croatia,HRV,1982,2251167
Croatia,HRV,1983,2262468
Croatia,HRV,1984,2272560
Croatia,HRV,1985,2281979
Croatia,HRV,1986,2290862
Croatia,HRV,1987,2299279
Croatia,HRV,1988,2307204
Croatia,HRV,1989,2314707
Croatia,HRV,1990,2321934
Croatia,HRV,1991,2316922
Croatia,HRV,1992,2295720
Croatia,HRV,1993,2270329
Croatia,HRV,1994,2244387
Croatia,HRV,1995,2217597
Croatia,HRV,1996,2190569
Croatia,HRV,1997,2163372
Croatia,HRV,1998,2135566
Croatia,HRV,1999,2107382
Croatia,HRV,2000,2079137
Croatia,HRV,2001,2067324
Croatia,HRV,2002,2069206
Croatia,HRV,2003,2069046
Croatia,HRV,2004,2070796
Croatia,HRV,2005,2073056
Croatia,HRV,2006,2074728
Croatia,HRV,2007,2075942
Croatia,HRV,2008,2076018
Croatia,HRV,2009,2074719
Croatia,HRV,2010,2070689
Croatia,HRV,2011,2060493
Croatia,HRV,2012,2049912
Croatia,HRV,2013,2042285
Croatia,HRV,2014,2031684
Croatia,HRV,2015,2014756
Croatia,HRV,2016,1992130
Croatia,HRV,2017,1964680
Croatia,HRV,2018,1938521
Croatia,HRV,2019,1920086
Croatia,HRV,2020,1904873
Croatia,HRV,2021,1891087
Croatia,HRV,2022,1883201
Croatia,HRV,2023,1878698
Cuba,CUB,1950,3060346
Cuba,CUB,1951,3117292
Cuba,CUB,1952,3175320
Cuba,CUB,1953,3235132
Cuba,CUB,1954,3296699
Cuba,CUB,1955,3359890
Cuba,CUB,1956,3424376
Cuba,CUB,1957,3490122
Cuba,CUB,1958,3557308
Cuba,CUB,1959,3626322
Cuba,CUB,1960,3697342
Cuba,CUB,1961,3769961
Cuba,CUB,1962,3845024
Cuba,CUB,1963,3923585
Cuba,CUB,1964,4004264
Cuba,CUB,1965,4085356
Cuba,CUB,1966,4165702
Cuba,CUB,1967,4244486
Cuba,CUB,1968,4322203
Cuba,CUB,1969,4400087
Cuba,CUB,1970,4478442
Cuba,CUB,1971,4556713
Cuba,CUB,1972,4631248
Cuba,CUB,1973,4699026
Cuba,CUB,1974,4760372
Cuba,CUB,1975,4815013
Cuba,CUB,1976,4862697
Cuba,CUB,1977,4903320
Cuba,CUB,1978,4937040
Cuba,CUB,1979,4964302
Cuba,CUB,1980,4986104
Cuba,CUB,1981,5007236
Cuba,CUB,1982,5036020
Cuba,CUB,1983,5072719
Cuba,CUB,1984,5111844
Cuba,CUB,1985,5152160
Cuba,CUB,1986,5194282
Cuba,CUB,1987,5238451
Cuba,CUB,1988,5285880
Cuba,CUB,1989,5335355
Cuba,CUB,1990,5383936
Cuba,CUB,1991,5426190
Cuba,CUB,1992,5459521
Cuba,CUB,1993,5486215
Cuba,CUB,1994,5505256
Cuba,CUB,1995,5519135
Cuba,CUB,1996,5531747
Cuba,CUB,1997,5543871
Cuba,CUB,1998,5555909
Cuba,CUB,1999,5567716
Cuba,CUB,2000,5578927
Cuba,CUB,2001,5589390
Cuba,CUB,2002,5599560
Cuba,CUB,2003,5610065
Cuba,CUB,2004,5619683
Cuba,CUB,2005,5626240
Cuba,CUB,2006,5628730
Cuba,CUB,2007,5627653
Cuba,CUB,2008,5624561
Cuba,CUB,2009,5620779
Cuba,CUB,2010,5616909
Cuba,CUB,2011,5613787
Cuba,CUB,2012,5611513
Cuba,CUB,2013,5608020
Cuba,CUB,2014,5600582
Cuba,CUB,2015,5593657
Cuba,CUB,2016,5586837
Cuba,CUB,2017,5575240
Cuba,CUB,2018,5561955
Cuba,CUB,2019,5546801
Cuba,CUB,2020,5530301
Cuba,CUB,2021,5497669
Cuba,CUB,2022,5461354
Cuba,CUB,2023,5438944
Cyprus,CYP,1950,243752
Cyprus,CYP,1951,247018
Cyprus,CYP,1952,250562
